# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
161 9.63 0.959691 67.9579 0.976853 68.2914 0.944113 66.7652 0.864041 45.0505 0.949802 52.8415
162 9.69 0.95642 69.1775 0.976246 69.5342 0.949486 67.9733 0.856573 46.1434 0.94765 54.0479
163 9.75 0.953218 70.4082 0.976367 70.7926 0.956213 69.205 0.853854 47.2464 0.947533 55.2691
164 9.81 0.951811 71.6522 0.976981 72.0674 0.962629 70.4604 0.849144 48.3568 0.942889 56.4994
165 9.87 0.950929 72.9103 0.978466 73.3597 0.970402 71.7413 0.841946 49.4713 0.939841 57.7407
166 9.93 0.950742 74.1834 0.980701 74.6708 0.97688 73.0466 0.836651 50.5923 0.939762 58.997
167 9.99 0.951732 75.4734 0.98319 76.0012 0.983967 74.3772 0.836246 51.7263 0.935783 60.2632
168 10.05 0.953375 76.7812 0.986326 77.3518 0.991344 75.734 0.835441 52.8729 0.926577 61.5321
169 10.11 0.956238 78.1085 0.989649 78.7233 0.998098 77.1164 0.833099 54.03 0.923545 62.8119
170 10.17 0.959268 79.456 0.99348 80.1164 1.00532 78.5254 0.830108 55.1967 0.913599 64.0931
171 10.23 0.963841 80.8259 0.996438 81.5303 1.01084 79.9588 0.834321 56.3831 0.90923 65.3832
172 10.29 0.968397 82.2184 1.0002 82.9661 1.01727 81.4184 0.830354 57.5778 0.900942 66.6765
173 10.35 0.974001 83.6354 1.00383 84.4241 1.02289 82.9032 0.834405 58.7924 0.894049 67.975
174 10.41 0.979282 85.0767 1.00705 85.9037 1.0283 84.4132 0.834344 60.021 0.89331 69.2876
175 10.47 0.984512 86.5424 1.0101 87.405 1.03258 85.947 0.837415 61.2684 0.888804 70.6085
176 10.53 0.990766 88.0344 1.01244 88.927 1.03655 87.5044 0.839442 62.5332 0.890729 71.9476
177 10.59 0.997106 89.553 1.01481 90.47 1.03898 89.0833 0.83981 63.813 0.890118 73.301
178 10.65 1.00262 91.0974 1.01659 92.0333 1.0411 90.6834 0.83956 65.107 0.893261 74.6747
179 10.71 1.00742 92.6668 1.01769 93.616 1.04239 92.3036 0.843477 66.4217 0.897358 76.0702
180 10.77 1.01315 94.2628 1.01876 95.2181 1.04296 93.9429 0.845745 67.7547 0.899159 77.4843
181 10.83 1.01781 95.8841 1.01872 96.8381 1.04238 95.5996 0.848575 69.1071 0.903427 78.9209
182 10.89 1.02164 97.5295 1.01879 98.4762 1.04219 97.2743 0.855136 70.4852 0.909627 80.3835
183 10.95 1.02571 99.1998 1.0185 100.132 1.04086 98.9655 0.859031 71.8848 0.914749 81.8705
184 11.01 1.02871 100.893 1.01714 101.804 1.03903 100.672 0.860748 73.3026 0.923315 83.388
185 11.07 1.03112 102.609 1.01591 103.492 1.03603 102.393 0.868085 74.7481 0.928387 84.9305
186 11.13 1.03182 104.345 1.01433 105.195 1.03301 104.127 0.876284 76.2232 0.933305 86.498
187 11.19 1.03301 106.102 1.01289 106.915 1.0298 105.874 0.882947 77.7255 0.939949 88.0937
188 11.25 1.03289 107.877 1.01084 108.649 1.02574 107.633 0.888616 79.2537 0.945893 89.7169
189 11.31 1.03243 109.671 1.00877 110.399 1.02192 109.404 0.897855 80.8144 0.947213 91.3596
190 11.37 1.03101 111.481 1.00661 112.163 1.01777 111.187 0.906091 82.4061 0.94942 93.0237
191 11.43 1.02886 113.307 1.00437 113.942 1.01336 112.981 0.915759 84.0318 0.953338 94.7123
192 11.49 1.02708 115.148 1.00258 115.737 1.00964 114.787 0.922981 85.6876 0.953162 96.4184
193 11.55 1.02455 117.004 1.00017 117.546 1.00563 116.605 0.928486 87.3707 0.959844 98.1545
194 11.61 1.02159 118.874 0.998299 119.37 1.00254 118.436 0.937275 89.0875 0.96099 99.9107
195 11.67 1.01851 120.758 0.996182 121.209 0.99874 120.279 0.942727 90.8322 0.964748 101.692
196 11.73 1.01445 122.654 0.994797 123.065 0.995488 122.135 0.950873 92.61 0.968658 103.499
